date,Cboe EDGX,NYSE Arca,Nasdaq GSM,Cboe EDGA,CHX,Cboe BYX,Cboe BZX,MEMX,Nasdaq BX,Off Exchange,IEX,NYSE American,NYSE National,NYSE,Nasdaq PHLX,MIAX Pearl,LTSE
2025-01-08,519973,413888,504899,12974,14190,11730,170856,109633,10957,2973953,98885,2006,3157,583409,3762,22413,0
2025-01-07,1296594,815191,768559,24428,709747,52577,332878,215643,21370,7101852,202604,3730,9857,1710442,12801,61742,20648
2025-01-06,1277220,809517,646851,25793,1296892,24668,407274,217395,25076,6140402,156937,4704,12956,1480822,6009,72600,4240
2025-01-03,775746,562612,448200,22953,5347,13749,322416,218906,10707,3804796,88482,7180,7529,1127364,6017,32099,7656
2025-01-02,796221,693069,521196,33982,19076,39363,277808,165671,21145,4154867,120429,5690,5220,1141514,8077,29800,766
2024-12-31,838395,556636,458272,21335,23831,12942,223531,120482,8094,3823501,72547,2174,3631,1168394,5142,43690,12448
2024-12-30,1038522,907732,554385,18103,30187,15371,315143,198140,17579,5234996,108366,4994,9192,1072749,5389,58124,3982
2024-12-27,891803,982780,679348,23272,28280,22104,434062,251800,18338,5241819,129315,4727,7413,1328346,4893,56810,38118
2024-12-26,1858316,2051763,1473381,44723,37028,46782,798852,384987,35541,11014872,218726,8362,11730,2372572,11347,137190,4346
2024-12-24,530957,504216,291768,13257,4664,10952,153396,78028,15183,2924176,63684,3548,4828,888201,3655,25895,7093
2024-12-23,880981,614811,455073,26173,7384,26279,288564,206955,13671,4574444,36681,6527,6248,1043023,1667,34794,3267
2024-12-20,1039026,881080,796422,50843,20671,38912,485087,229686,21795,9285952,182700,9067,16437,6438177,22914,63670,24281
2024-12-19,879502,880059,593335,25450,74345,37770,369062,183774,26113,5563301,150687,3947,12003,1448964,12644,72049,4703
2024-12-18,1514484,1284304,975644,47534,27845,121655,553740,287954,35843,6602370,192779,6083,9178,2065765,31624,85725,104637
2024-12-17,1991108,1726110,1196694,59115,42056,115628,707498,446493,71348,10219961,261331,16217,14110,2816380,64631,132435,63712
2024-12-16,710321,654143,787598,26840,11147,28102,325288,153520,21938,4249359,194823,5539,10111,1446729,7265,66035,1244
2024-12-13,627228,469265,376184,12847,7200,13712,224796,120057,12308,3800973,116118,4604,3906,745808,2837,38141,5602
2024-12-12,834038,710126,447316,33549,183708,36263,250962,170881,28213,4740722,97749,7424,14135,1213428,25554,46440,15066
2024-12-11,2259297,1885876,1230018,53948,31533,102720,680376,359129,42212,10831888,215006,13231,20606,2441735,34308,109984,27242
2024-12-10,1779459,2859448,1801426,58036,62177,71091,505036,455600,63672,8668030,231385,19936,22589,1476137,39469,64380,31565
2024-12-09,1110843,1031170,709659,30731,16352,46338,341959,185400,18550,6006277,244579,8053,10955,1657447,13933,62364,800
2024-12-06,1475530,1412346,1013680,44660,11599,56053,532697,305610,34403,7791730,375054,24419,14919,1858241,15713,71711,123070
2024-12-05,3095522,3402370,3726736,133767,35233,302206,1357346,621471,175130,21597610,845096,12973,55722,4755007,135966,197971,254783
2024-12-04,671778,511009,334865,16032,4640,27789,228243,81546,6553,3422338,99878,3166,3161,907766,6794,44811,17168
